"resultNumber","lemma","senseNumber","snippet"
"205","twee\u00EBnzeventigste","0.0",""
"206","tweehonderd","",""
"207","tweehonderdduizend","",""
"208","tweehonderdduizendste","0.0",""
"209","tweehonderdste","1.0",""
"210","tweehonderdtwintig","",""
"211","tweehonderdvijftig","",""
"212","twee negende","0.0",""
"213","twee tiende","0.0",""
"214","twee vierde","0.0",""
"215","twee vijfde","0.0",""
"216","twee zesde","0.0",""
"217","twee zevende","0.0",""
"218","twintig","",""
"219","twintigduizend","",""
"220","twintigduizendste","0.0",""
"221","twintigste","",""
"222","veertien","",""
"223","veertiende","",""
"224","veertienduizend","",""
"225","veertienduizendste","0.0",""
"226","veertienhonderd","",""
"227","veertienhonderdste","0.0",""
"228","veertig","",""
"229","veertigduizend","",""
"230","veertigduizendste","0.0",""
"231","vier","A.1.0",""
"232","vier achtste","0.0",""
"233","vierde","A.1.0",""
"234","vierduizend","",""
"235","vierduizendste","0.0",""
"236","vierendertig","",""
"237","vierendertigste","0.0",""
"238","vierennegentig","",""
"239","vierennegentigste","0.0",""
"240","vierentachtig","",""
"241","vierentachtigste","0.0",""
"242","vierentwintig","",""
"243","vierentwintigduizend","",""
"244","vierentwintigste","1.0",""
"245","vierenveertig","",""
"246","vierenveertigste","0.0",""
"247","vierenvijftig","",""
"248","vierenvijftigste","0.0",""
"249","vierenzestig","",""
"250","vierenzestigste","0.0",""
"251","vierenzeventig","",""
"252","vierenzeventigste","0.0",""
"253","vierhonderd","",""
"254","vierhonderdduizend","",""
"255","vierhonderdduizendste","0.0",""
"256","vierhonderdste","0.0",""
"257","vier negende","0.0",""
"258","vier tiende","0.0",""
"259","vier vijfde","",""
"260","vier zesde","0.0",""
"261","vier zevende","0.0",""
"262","vijf","A.1.0",""
"263","vijf achtste","",""
"264","vijfde","A.1.0",""
"265","vijfduizend","",""
"266","vijfduizendste","0.0",""
"267","vijfendertig","",""
"268","vijfendertigste","1.0",""
"269","vijfennegentig","",""
"270","vijfennegentigste","0.0",""
"271","vijfentachtig","",""
"272","vijfentachtigste","0.0",""
"273","vijfentwintig","",""
"274","vijfentwintigduizend","",""
"275","vijfentwintighonderd","",""
"276","vijfentwintigste","1.0",""
"277","vijfenveertig","",""
"278","vijfenveertigste","0.0",""
"279","vijfenvijftig","",""
"280","vijfenvijftigste","0.0",""
"281","vijfenzestig","",""
"282","vijfenzestigste","1.0",""
"283","vijfenzeventig","",""
"284","vijfenzeventigste","1.0",""
"285","vijfhonderd","",""
"286","vijfhonderdduizend","",""
"287","vijfhonderdduizendste","0.0",""
"288","vijfhonderdste","1.0",""
"289","vijf negende","0.0",""
"290","vijftien","",""
"291","vijftiende","",""
"292","vijf tiende","0.0",""
"293","vijftienduizend","",""
"294","vijftienduizendste","0.0",""
"295","vijftienhonderd","",""
"296","vijftienhonderdste","0.0",""
"297","vijftig","",""
"298","vijftigduizend","",""
"299","vijftigduizendste","0.0",""
"300","vijftigste","",""
"301","vijf zesde","0.0",""
"302","vijf zevende","0.0",""
"303","zes","A.1.0",""
"304","zes achtste","0.0",""
"305","zesde","A.1.0",""
"306","zesduizend","",""
"307","zesduizendste","0.0",""
"308","zesendertig","",""
"309","zesendertigste","0.0",""
"310","zesennegentig","",""
"311","zesennegentigste","0.0",""
"312","zesentachtig","",""
"313","zesentachtigste","0.0",""
"314","zesentwintig","",""
"315","zesentwintigduizend","",""
"316","zesentwintigste","1.0",""
"317","zesenveertig","",""
"318","zesenveertigste","0.0",""
"319","zesenvijftig","",""
"320","zesenvijftigste","0.0",""
"321","zesenzestig","",""
"322","zesenzestigste","0.0",""
"323","zesenzeventig","",""
"324","zesenzeventigste","0.0",""
"325","zeshonderd","",""
"326","zeshonderdduizend","",""
"327","zeshonderdduizendste","0.0",""
"328","zeshonderdste","0.0",""
"329","zes negende","0.0",""
"330","zestien","",""
"331","zestiende","",""
"332","zes tiende","0.0",""
"333","zestienduizend","",""
"334","zestienduizendste","0.0",""
"335","zestienhonderd","",""
"336","zestienhonderdste","0.0",""
"337","zestig","",""
"338","zestigduizend","",""
"339","zestigduizendste","0.0",""
"340","zestigste","",""
"341","zes zevende","0.0",""
"342","zeven","A.1.0",""
"343","zeven achtste","0.0",""
"344","zevende","A.1.0",""
"345","zevenduizend","",""
