"resultNumber","lemma","senseNumber","snippet"
"147","bakpapier","0.0",""
"148","bakpoeder","",""
"149","baksteen","",""
"150","bakvis","2.0","vis om te bakken"
"151","balata","1.0","boletri"
"152","balata","2.0","rubbersoort"
"153","balatum","1.0","vloerbedekkingsmateriaal"
"154","balsahout","0.0",""
"155","bami","1.0","oosterse noedels"
"156","bami goreng","1.0","Indonesisch gerecht met gebakken noedels"
"157","banaan","1.2","<i>banaan</i> als stof"
"158","bananenijs","0.0",""
"159","bangbang","1.1","voedsel"
"160","bariet","1.0","bariumsulfaat"
"161","bariumsulfaat","1.0","zwavelzuur zout van barium"
"162","bark","2.0","versnipperde boomschors"
"163","basalt","1.0","vulkanisch stollingsgesteente"
"164","basralokus","2.0","hardhout"
"165","bastaardsuiker","0.0",""
"166","basterdsuiker","1.0",""
"167","batra","1.0","fles drank"
"168","bauxiet","1.0","aluminiumhoudend mineraal"
"169","bavarois","1.0","luchtige pudding"
"170","bavaroise","1.0","luchtige pudding"
"171","bavaroise","1.1","zoet nagerecht"
"172","bavaroise","1.2","hartig gerecht"
"173","beaujolais/Beaujolais","1.0","fruitige, jonge wijn uit Beaujolais"
"174","beaujolais primeur","1.0","zes weken oude beaujolais"
"175","beaujolaiswijn","1.0","wijn uit de Beaujolaisstreek"
"176","bedrijfsafvalwater","0.0",""
"177","beekforel","1.2","beekforel als voedsel"
"178","beendersoep","0.0",""
"179","beer","4.0","vloeibare mest"
"180","beetsuiker","0.0",""
"181","beleg","2.0","belegsel"
"182","beleg","3.0","broodbeleg"
"183","belladonna","1.1","medicijn"
"184","benzine","1.0","vloeibaar koolwaterstofmengsel"
"185","bergamot","1.1","bergamotgeur"
"186","bergamotolie","1.0","etherische olie"
"187","bergwater","0.0",""
"188","berkenhout","1.0",""
"189","berkenpollen","1.0","stuifmeel van de berk"
"190","berkenstuifmeel","1.0","stuifmeel van de berk"
"191","berkenwater","",""
"192","beschermgas","1.0",""
"193","beschuit","1.1","<i>beschuit</i> als stof"
"194","beslag","2.0","aangeslagen stof"
"195","beslag","3.0","mengsel van meel"
