"resultNumber","lemma","senseNumber","snippet"
"2559","dealer","4.0","kaartenverdeler bij kansspelen"
"2560","dealmaker","1.0","iemand die deals sluit"
"2561","debutante","1.0",""
"2562","decaan","1.0",""
"2563","decoratieschilder","0.0",""
"2564","decorbouwer","1.0","iemand die decors bouwt"
"2565","decorontwerper","1.0","iemand die decors ontwerpt"
"2566","deejay","1.0","iemand die muziek mixt; dj"
"2567","deejay","1.1","radiodeejay"
"2568","deelgenoot","1.0",""
"2569","deelgenote","0.0",""
"2570","deelneemster","1.0",""
"2571","deelnemer","1.0","iemand die aan iets deelneemt"
"2572","deelraadbestuurder","0.0",""
"2573","deelraadslid","0.0",""
"2574","deelraadswethouder","",""
"2575","deelraadvoorzitter","0.0",""
"2576","deelstaatpremier","1.0",""
"2577","deeltijder","1.0","parttimer"
"2578","deeltijdhoogleraar","",""
"2579","deeltijdjuf","1.0","juf die in deeltijd werkt"
"2580","deeltijdprinses","1.0","vrouw die in deeltijd werkt"
"2581","deeltijdprofessor","0.0",""
"2582","deeltijdstudent","0.0",""
"2583","deeltijdvegetari\u00EBr","1.0","iemand die regelmatig geen vlees eet"
