"resultNumber","lemma","senseNumber","snippet"
"123","leerschool","2.0","het opdoen van kennis"
"124","leerschool","3.0","kring met een bepaalde leer"
"125","leerschool","4.0","school om te leren"
"126","leerschool","5.0","scholing"
"127","nacht","1.0","periode zonder daglicht"
"128","nacht","1.1","toestand na de dagperiode"
"129","nacht","1.2","toestand van de dood"
"130","nacht","2.0","laatste gedeelte van een dag"
"131","nacht","2.1","toestand na de avondschemering"
"132","nacht","2.2","nacht doorgebracht op specifieke wijze"
"133","nacht","2.3","negatieve zaak vergelijkbaar met de nacht"
"134","nacht","3.0","periode bestemd voor de nachtrust"
"135","nacht","4.0","nachtdienst"
"136","nacht","5.0","bijeenkomst 's nachts"
"137","week","A.1.0","tijd van ma t/m zo of zo t/m za"
"138","week","A.1.1","week doorgebracht op specifieke wijze"
"139","week","A.1.2","dienstbeurt voor artsen e.d"
"140","week","A.2.0","periode van zeven dagen"
"141","week","A.2.1","week doorgebracht op specifieke wijze"
"142","week","A.3.0","week in het teken van iets"
"143","week","A.3.1","bijeenkomst in het teken van iets"
"144","week","A.4.0","periode van de werkdagen of weekdagen"
"145","week","B.1.0","het zacht (doen) worden in vocht"
"146","week","B.2.0","het (doen) loskomen in vocht"
"147","weg","A.1.1","wegverkeer"
"148","weg","A.1.4","geheel van stappen als weg voorgesteld"
"149","weg","A.1.5","levenswijze"
"150","weg","A.2.0","route"
"151","weg","A.2.1","traject door de lucht of ruimte"
"152","weg","A.2.2","vaarroute"
"153","weg","A.2.3","stroomrichting van een vloeistof"
"154","weg","A.2.4","stroomrichting van een gas"
"155","weg","A.2.5","geheel van stappen als route voorgesteld"
"156","weg","A.3.0","middel, manier om iets te bereiken"
"157","afslag","1.1","link naar een andere website"
"158","afslag","1.2","aftakking"
"159","afslag","1.3","verandering van richting"
"160","afslag","2.0","korting"
"161","afslag","3.0","manier van verkoop"
"162","afslag","4.0","het afslaan van een apparaat"
"163","afslag","5.0","het afslaan van grond"
"164","afslag","7.1","eerste slag op een hole"
"165","afslag","7.2","beginslag bij hockey"
"166","uur","1.0","periode van 60 minuten"
"167","uur","2.0","periode van 60 minuten voor een activiteit"
"168","uur","2.1","werkuur"
"169","uur","2.2","lesuur"
"170","uur","3.0","tijdstip van een vol uur op de klok"
"171","uur","4.0","bepaald ogenblik in een etmaal"
"172","uur","5.0","belangrijk ogenblik in de tijd"
"173","uur","5.1","moment van sterven"
