"resultNumber","lemma","senseNumber","snippet"
"146","armee","1.0","leger"
"147","armee","1.1","grote menigte of groep"
"148","armee","2.0","bewapende troep"
"149","Arowaks","2.0","taal van de Arowakken"
"150","arrestatieteam","1.0",""
"151","artikelenreeks","1.0",""
"152","artikelenserie","0.0",""
"153","artillerie-eenheid","1.0",""
"154","artsenbond","1.0","artsenorganisatie"
"155","artsensyndicaat","0.0",""
"156","artsenvereniging","1.0","belangenvereniging van artsen"
"157","A-selectie","1.0",""
"158","asfalt","2.3","wegen of straten van asfalt"
"159","asfaltjeugd","0.0",""
"160","asielzoekersgezin","1.0","gezin dat asiel aanvraagt"
"161","assemblage-industrie","0.0",""
"162","Assembleecommissie","1.0",""
"163","A-team","0.0",""
"164","athleisure","1.0","modestijl waarbij sportkleding wordt gedragen"
"165","atletiekbond","1.0","belangenvereniging voor atleten"
"166","atletiekclub","1.0","atletiekvereniging"
"167","atletiekploeg","0.0",""
"168","atletiekvereniging","1.0","atletiekclub"
"169","atoomafval","1.0",""
"170","atoomsoort","0.0",""
"171","audioapparatuur","1.0",""
"172","auditcomit\u00E9","1.0","auditteam"
"173","auditteam","1.0","team dat een audit uitvoert"
"174","autoblik","1.0","verzameling van auto's"
"175","autobranche","1.0",""
"176","autogroep","0.0",""
"177","auto-industrie","1.0","autoproducerende industrie"
"178","auto-industrie","1.1","geheel van autoproducerende bedrijven"
"179","automatiseringsbranche","0.0",""
"180","automatiseringspersoneel","0.0",""
"181","automobielbranche","0.0",""
"182","automobielindustrie","1.0","autoproducerende industrie"
"183","automobielindustrie","1.1","geheel van autoproducerende bedrijven"
"184","avondkledij","1.0","kleding voor avondfeesten e.d."
"185","avondkleding","1.0","kleding voor avondfeesten e.d."
"186","avondkleding","1.1","smoking"
"187","avondploeg","1.0","werknemers met avonddienst"
"188","awarenessteam","1.0","team dat sociale veiligheid nastreeft"
"189","Azeri","1.0","volk uit Azerbeidzjan en Iran"
"190","baanselectie","0.0",""
"191","baansoort","1.0",""
"192","baardhaar","",""
"193","babyboomgeneratie","1.0","geboortegolfgeneratie"
"194","babyboomgeneratie","1.1","generatie geboren tussen 1945 en 1960"
"195","babykleding","0.0",""
"196","babyvoeding","1.0",""
"197","babyvoedsel","0.0",""
"198","bacteriecultuur","1.0",""
"199","bacteriesoort","1.0",""
"200","badkleding","1.0",""
"201","badmintonbond","0.0",""
"202","badmintonclub","0.0",""
"203","badmintonploeg","0.0",""
"204","badmintonselectie","0.0",""
"205","badpersoneel","1.0","personeel van een zwembad"
